YEAR,PLAYER_ID,PLAYER,TEAM_ID,TEAM,GP,FG_PCT,FG3_PCT,FT_PCT,EFF,AST_TOV,PPG,RPG,APG,SPG,BPG,TPG,is_all_nba,POSITION,season_start_year,WinPCT,Start_Year,TeamID,WinningFactor
2010-11,2575,Luke Walton,1610612747,LAL,54,0.328,0.235,0.7,121,2.0,1.6851851851851851,1.2407407407407407,1.148148148148148,0.1666666666666666,0.074074074074074,0.5740740740740741,False,Forward,2010,0.695,2010,1610612747,84.095
2010-11,202382,Derrick Caracter,1610612747,LAL,41,0.485,0.0,0.739,86,0.37,1.975609756097561,1.048780487804878,0.1707317073170731,0.0975609756097561,0.2439024390243902,0.4634146341463415,False,Forward,2010,0.695,2010,1610612747,59.769999999999996
2010-11,202365,Devin Ebanks,1610612747,LAL,20,0.412,0.4,0.783,59,0.33,3.1,1.35,0.1,0.2,0.25,0.3,False,Forward,2010,0.695,2010,1610612747,41.004999999999995
2010-11,201234,Trey Johnson,1610612747,LAL,8,0.364,0.333,0.9,27,2.2,4.25,0.875,1.375,0.125,0.125,0.625,False,Guard,2010,0.695,2010,1610612747,18.764999999999997
2010-11,693,Joe Smith,1610612747,LAL,16,0.188,0.0,1.0,19,0.8,0.5,1.3125,0.25,0.0,0.25,0.3125,False,Forward-Center,2010,0.695,2010,1610612747,13.204999999999998
2010-11,689,Theo Ratliff,1610612747,LAL,10,0.167,0.0,0.0,15,1.0,0.2,1.3,0.3,0.2,0.5,0.3,False,Center,2010,0.695,2010,1610612747,10.424999999999999
2010-11,201565,Derrick Rose,1610612741,CHI,81,0.445,0.332,0.858,1872,2.24,25.012345679012345,4.074074074074074,7.691358024691358,1.0493827160493827,0.6296296296296297,3.432098765432099,True,Guard,2010,0.756,2010,1610612741,1415.232
2010-11,2736,Luol Deng,1610612741,CHI,82,0.46,0.345,0.753,1399,1.47,17.4390243902439,5.804878048780488,2.804878048780488,0.951219512195122,0.5853658536585366,1.902439024390244,False,Forward,2010,0.756,2010,1610612741,1057.644
2010-11,2430,Carlos Boozer,1610612741,CHI,59,0.51,0.0,0.701,1170,0.97,17.508474576271187,9.576271186440678,2.457627118644068,0.7627118644067796,0.3050847457627119,2.5254237288135597,False,Forward,2010,0.756,2010,1610612741,884.52
2010-11,2594,Kyle Korver,1610612741,CHI,82,0.434,0.415,0.885,625,2.07,8.304878048780488,1.829268292682927,1.5121951219512195,0.4268292682926829,0.2439024390243902,0.7317073170731707,False,Guard-Forward,2010,0.756,2010,1610612741,472.5
2010-11,201959,Taj Gibson,1610612741,CHI,80,0.466,0.125,0.676,843,0.82,7.1125,5.725,0.725,0.4875,1.325,0.8875,False,Forward,2010,0.756,2010,1610612741,637.308
2010-11,201149,Joakim Noah,1610612741,CHI,48,0.525,0.0,0.739,956,1.19,11.6875,10.375,2.2291666666666665,1.0,1.5,1.875,False,Forward-Center,2010,0.756,2010,1610612741,722.736
2010-11,200758,Ronnie Brewer,1610612741,CHI,81,0.48,0.222,0.654,710,2.54,6.209876543209877,3.234567901234568,1.728395061728395,1.308641975308642,0.2716049382716049,0.6790123456790124,False,Forward,2010,0.756,2010,1610612741,536.76
2010-11,201228,C.J. Watson,1610612741,CHI,82,0.371,0.393,0.742,406,2.55,4.939024390243903,1.146341463414634,2.268292682926829,0.6707317073170732,0.1341463414634146,0.8902439024390244,False,Guard,2010,0.756,2010,1610612741,306.936
2010-11,2586,Keith Bogans,1610612741,CHI,82,0.404,0.38,0.656,420,2.46,4.378048780487805,1.804878048780488,1.2317073170731707,0.4634146341463415,0.1097560975609756,0.5,False,Guard-Forward,2010,0.756,2010,1610612741,317.52
2010-11,201600,Omer Asik,1610612741,CHI,82,0.553,0.0,0.503,444,0.5,2.792682926829268,3.731707317073171,0.3902439024390244,0.2439024390243902,0.6829268292682927,0.7804878048780488,False,Center,2010,0.756,2010,1610612741,335.664
2010-11,2446,Rasual Butler,1610612741,CHI,47,0.333,0.338,0.667,158,1.13,4.723404255319149,1.6382978723404256,0.574468085106383,0.1702127659574468,0.3191489361702128,0.5106382978723404,False,Forward,2010,0.756,2010,1610612741,119.44800000000001
2010-11,703,Kurt Thomas,1610612741,CHI,52,0.511,1.0,0.625,501,1.43,4.057692307692308,5.788461538461538,1.1538461538461535,0.6153846153846154,0.8076923076923077,0.8076923076923077,False,Forward,2010,0.756,2010,1610612741,378.75600000000003
2010-11,2243,Brian Scalabrine,1610612741,CHI,18,0.526,0.0,0.0,27,1.2,1.1111111111111112,0.4444444444444444,0.3333333333333333,0.1666666666666666,0.2222222222222222,0.2777777777777778,False,Forward,2010,0.756,2010,1610612741,20.412
2010-11,101249,John Lucas III,1610612741,CHI,2,0.333,0.0,0.0,-1,0.0,1.0,0.0,0.5,0.0,0.0,0.0,False,Guard,2010,0.756,2010,1610612741,-0.756
2010-11,2405,Amar'e Stoudemire,1610612752,NYK,78,0.502,0.435,0.792,1918,0.81,25.26923076923077,8.153846153846153,2.58974358974359,0.9102564102564102,1.9230769230769231,3.2051282051282053,True,Forward-Center,2010,0.512,2010,1610612752,982.0160000000001
2010-11,2546,Carmelo Anthony,1610612752,NYK,77,0.455,0.378,0.838,1745,1.07,25.584415584415584,7.311688311688312,2.8701298701298703,0.8831168831168831,0.5974025974025974,2.675324675324675,False,Forward,2010,0.512,2010,1610612752,893.44
2010-11,1497,Chauncey Billups,1610612752,NYK,72,0.427,0.402,0.916,1203,2.19,16.77777777777778,2.638888888888889,5.375,0.9861111111111112,0.1944444444444444,2.458333333333333,False,Guard,2010,0.512,2010,1610612752,615.936
2010-11,201962,Toney Douglas,1610612752,NYK,81,0.416,0.373,0.794,885,2.74,10.567901234567902,3.0123456790123457,3.0123456790123457,1.0987654320987654,0.0493827160493827,1.0987654320987654,False,Guard,2010,0.512,2010,1610612752,453.12
2010-11,202361,Landry Fields,1610612752,NYK,82,0.497,0.393,0.769,1126,1.45,9.71951219512195,6.353658536585366,1.8902439024390243,0.975609756097561,0.2073170731707317,1.304878048780488,False,Guard-Forward,2010,0.512,2010,1610612752,576.5120000000001
2010-11,200761,Shawne Williams,1610612752,NYK,64,0.426,0.401,0.837,555,1.02,7.09375,3.734375,0.734375,0.609375,0.796875,0.71875,False,Forward,2010,0.512,2010,1610612752,284.16
2010-11,201611,Henry Walker,1610612752,NYK,61,0.441,0.386,0.705,299,0.92,4.885245901639344,2.0,0.5573770491803278,0.3442622950819672,0.0983606557377049,0.6065573770491803,False,Forward,2010,0.512,2010,1610612752,153.088
2010-11,101142,Ronny Turiaf,1610612752,NYK,64,0.632,0.0,0.622,536,2.24,4.171875,3.234375,1.4375,0.546875,1.140625,0.640625,False,Center,2010,0.512,2010,1610612752,274.432
2010-11,200749,Shelden Williams,1610612752,NYK,59,0.468,0.0,0.773,441,0.74,4.47457627118644,4.627118644067797,0.5423728813559322,0.3898305084745763,0.4406779661016949,0.7288135593220338,False,Center-Forward,2010,0.512,2010,1610612752,225.792
2010-11,201974,Derrick Brown,1610612752,NYK,49,0.565,0.5,0.533,227,0.94,3.7755102040816326,2.020408163265306,0.673469387755102,0.4081632653061224,0.2040816326530612,0.7142857142857143,False,Forward,2010,0.512,2010,1610612752,116.224
2010-11,1853,Anthony Carter,1610612752,NYK,33,0.425,0.3,1.0,163,1.77,3.333333333333333,1.5454545454545454,2.090909090909091,0.8181818181818182,0.1818181818181818,1.181818181818182,False,Guard,2010,0.512,2010,1610612752,83.456
2010-11,2427,Roger Mason Jr.,1610612752,NYK,26,0.338,0.364,0.7,86,3.33,2.8846153846153846,1.6538461538461535,0.7692307692307693,0.2307692307692307,0.0769230769230769,0.2307692307692307,False,Guard,2010,0.512,2010,1610612752,44.032000000000004
2010-11,2407,Jared Jeffries,1610612752,NYK,42,0.349,0.222,0.414,180,1.71,1.761904761904762,2.761904761904762,0.8571428571428571,0.7380952380952381,0.4047619047619047,0.5,False,Forward,2010,0.512,2010,1610612752,92.16
2010-11,200764,Renaldo Balkman,1610612752,NYK,8,0.462,0.5,0.75,22,2.0,2.0,0.875,0.25,0.5,0.25,0.125,False,Forward,2010,0.512,2010,1610612752,11.264
2010-11,202360,Andy Rautins,1610612752,NYK,5,0.429,0.25,0.5,1,0.43,1.6,0.2,0.6,0.2,0.0,1.4,False,Guard,2010,0.512,2010,1610612752,0.512
2010-11,101145,Monta Ellis,1610612744,GSW,80,0.451,0.361,0.789,1623,1.79,24.1125,3.5125,5.625,2.1,0.2875,3.15,False,Guard,2010,0.439,2010,1610612744,712.497
2010-11,201939,Stephen Curry,1610612744,GSW,74,0.48,0.442,0.934,1431,1.91,18.554054054054053,3.864864864864865,5.837837837837838,1.472972972972973,0.2702702702702703,3.054054054054054,False,Guard,2010,0.439,2010,1610612744,628.209
2010-11,2748,Dorell Wright,1610612744,GSW,82,0.423,0.376,0.789,1362,1.82,16.390243902439025,5.2560975609756095,2.951219512195122,1.5121951219512195,0.7682926829268293,1.6219512195121952,False,Forward-Guard,2010,0.439,2010,1610612744,597.918
2010-11,101135,David Lee,1610612744,GSW,73,0.507,0.333,0.787,1546,1.37,16.47945205479452,9.780821917808218,3.191780821917808,1.0136986301369864,0.4246575342465753,2.328767123287671,False,Forward-Center,2010,0.439,2010,1610612744,678.694
2010-11,202130,Reggie Williams,1610612744,GSW,80,0.469,0.423,0.746,711,2.12,9.225,2.7,1.5125,0.35,0.0375,0.7125,False,Forward,2010,0.439,2010,1610612744,312.129
2010-11,201154,Al Thornton,1610612744,GSW,71,0.476,0.154,0.775,524,0.97,7.380281690140845,3.0,0.8732394366197183,0.4929577464788732,0.1690140845070422,0.9014084507042254,False,Forward,2010,0.439,2010,1610612744,230.036
2010-11,2209,Vladimir Radmanovic,1610612744,GSW,74,0.431,0.405,0.882,511,1.39,5.054054054054054,2.864864864864865,1.0675675675675675,0.5945945945945946,0.5945945945945946,0.7702702702702703,False,Forward,2010,0.439,2010,1610612744,224.329
2010-11,2740,Andris Biedrins,1610612744,GSW,59,0.534,0.0,0.323,682,1.05,4.983050847457627,7.220338983050848,1.0169491525423728,0.8813559322033898,0.8813559322033898,0.9661016949152542,False,Center,2010,0.439,2010,1610612744,299.398
2010-11,202327,Ekpe Udoh,1610612744,GSW,58,0.437,0.0,0.656,370,0.83,4.068965517241379,3.1206896551724137,0.6896551724137931,0.3793103448275862,1.4827586206896552,0.8275862068965517,False,Center-Forward,2010,0.439,2010,1610612744,162.43
2010-11,201151,Acie Law,1610612744,GSW,51,0.435,0.167,0.734,229,1.95,4.215686274509804,1.2352941176470589,1.6470588235294117,0.6274509803921569,0.0,0.8431372549019608,False,Guard,2010,0.439,2010,1610612744,100.531
2010-11,200811,Lou Amundson,1610612744,GSW,46,0.454,0.0,0.391,272,0.71,4.3478260869565215,4.021739130434782,0.3695652173913043,0.3043478260869565,0.717391304347826,0.5217391304347826,False,Forward,2010,0.439,2010,1610612744,119.408
2010-11,202391,Jeremy Lin,1610612744,GSW,29,0.389,0.2,0.76,126,2.33,2.6206896551724137,1.1724137931034482,1.4482758620689655,1.137931034482759,0.3103448275862069,0.6206896551724138,False,Guard,2010,0.439,2010,1610612744,55.314
2010-11,202399,Jeff Adrien,1610612744,GSW,23,0.426,0.0,0.579,86,1.11,2.4782608695652173,2.5217391304347827,0.4347826086956521,0.1739130434782608,0.217391304347826,0.391304347826087,False,,2010,0.439,2010,1610612744,37.754
2010-11,2294,Charlie Bell,1610612744,GSW,19,0.279,0.286,0.5,31,2.17,1.6842105263157894,0.9473684210526316,0.6842105263157895,0.3157894736842105,0.0526315789473684,0.3157894736842105,False,Guard,2010,0.439,2010,1610612744,13.609
2010-11,2755,Kevin Martin,1610612745,HOU,80,0.436,0.383,0.888,1454,1.08,23.45,3.225,2.475,1.0,0.1875,2.3,False,Guard,2010,0.524,2010,1610612745,761.8960000000001
2010-11,2449,Luis Scola,1610612745,HOU,74,0.504,0.0,0.738,1452,1.26,18.27027027027027,8.18918918918919,2.5,0.6486486486486487,0.5945945945945946,1.9864864864864864,False,Forward,2010,0.524,2010,1610612745,760.8480000000001
2010-11,200768,Kyle Lowry,1610612745,HOU,75,0.426,0.376,0.765,1264,3.17,13.48,4.12,6.666666666666667,1.36,0.3066666666666666,2.1066666666666665,False,Guard,2010,0.524,2010,1610612745,662.336
2010-11,201978,Chase Budinger,1610612745,HOU,78,0.425,0.325,0.855,768,1.9,9.807692307692308,3.602564102564102,1.6282051282051282,0.5256410256410257,0.2307692307692307,0.8589743589743589,False,Forward,2010,0.524,2010,1610612745,402.432
2010-11,201584,Courtney Lee,1610612745,HOU,81,0.439,0.408,0.792,641,1.47,8.296296296296296,2.580246913580247,1.2345679012345678,0.7160493827160493,0.2222222222222222,0.8395061728395061,False,Guard,2010,0.524,2010,1610612745,335.884
2010-11,101236,Chuck Hayes,1610612745,HOU,74,0.527,0.0,0.662,1158,2.35,7.864864864864865,8.094594594594595,2.72972972972973,1.0675675675675675,0.6621621621621622,1.162162162162162,False,Forward-Center,2010,0.524,2010,1610612745,606.792
2010-11,201609,Goran Dragic,1610612745,HOU,70,0.435,0.361,0.624,513,1.74,7.4714285714285715,2.0285714285714285,2.914285714285714,0.7142857142857143,0.1428571428571428,1.6714285714285717,False,Guard,2010,0.524,2010,1610612745,268.812
2010-11,201941,Jordan Hill,1610612745,HOU,72,0.491,0.0,0.706,541,0.47,5.638888888888889,4.25,0.4027777777777778,0.1944444444444444,0.7222222222222222,0.8611111111111112,False,Forward-Center,2010,0.524,2010,1610612745,283.48400000000004
2010-11,1802,Brad Miller,1610612745,HOU,60,0.446,0.374,0.83,564,2.69,6.366666666666666,3.7,2.4166666666666665,0.4666666666666667,0.35,0.9,False,Center-Forward,2010,0.524,2010,1610612745,295.536
2010-11,202335,Patrick Patterson,1610612745,HOU,52,0.558,0.0,0.714,462,1.32,6.307692307692308,3.8461538461538463,0.7884615384615384,0.3269230769230769,0.7115384615384616,0.5961538461538461,False,Forward,2010,0.524,2010,1610612745,242.08800000000002
2010-11,201944,Terrence Williams,1610612745,HOU,21,0.374,0.273,0.667,92,1.15,5.047619047619048,2.4285714285714284,1.809523809523809,0.4285714285714285,0.0,1.5714285714285714,False,Guard-Forward,2010,0.524,2010,1610612745,48.208
2010-11,201934,Hasheem Thabeet,1610612745,HOU,47,0.425,0.0,0.543,101,0.23,1.127659574468085,1.5957446808510638,0.0851063829787234,0.1914893617021276,0.3404255319148936,0.3617021276595745,False,Center,2010,0.524,2010,1610612745,52.924
2010-11,2397,Yao Ming,1610612745,HOU,5,0.486,0.0,0.938,63,0.57,10.2,5.4,0.8,0.0,1.6,1.4,False,Center,2010,0.524,2010,1610612745,33.012
2010-11,201960,DeMarre Carroll,1610612745,HOU,12,0.333,0.0,1.0,16,0.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.0833333333333333,0.0833333333333333,0.0,False,Forward,2010,0.524,2010,1610612745,8.384
2010-11,200839,Mike Harris,1610612745,HOU,4,0.5,0.0,0.5,9,1.0,2.0,1.25,0.25,0.0,0.25,0.25,False,Forward,2010,0.524,2010,1610612745,4.716
2010-11,201933,Blake Griffin,1610612746,LAC,82,0.506,0.292,0.642,2102,1.4,22.5,12.060975609756095,3.804878048780488,0.7682926829268293,0.5487804878048781,2.7195121951219514,False,Forward,2010,0.39,2010,1610612746,819.78
2010-11,201569,Eric Gordon,1610612746,LAC,56,0.45,0.364,0.825,1010,1.62,22.267857142857142,2.9285714285714284,4.357142857142857,1.2678571428571428,0.3214285714285714,2.696428571428572,False,Guard,2010,0.39,2010,1610612746,393.90000000000003
2010-11,2590,Mo Williams,1610612746,LAC,58,0.399,0.324,0.853,772,2.22,14.0,2.6379310344827585,6.551724137931035,0.913793103448276,0.1724137931034483,2.9482758620689653,False,Guard,2010,0.39,2010,1610612746,301.08
2010-11,200751,Randy Foye,1610612746,LAC,63,0.388,0.327,0.893,521,1.79,9.77777777777778,1.6349206349206349,2.6984126984126986,0.746031746031746,0.3333333333333333,1.507936507936508,False,Guard,2010,0.39,2010,1610612746,203.19
2010-11,201599,DeAndre Jordan,1610612746,LAC,80,0.686,0.0,0.452,1039,0.42,7.075,7.1875,0.525,0.5125,1.775,1.2625,False,Center,2010,0.39,2010,1610612746,405.21000000000004
2010-11,101155,Ryan Gomes,1610612746,LAC,76,0.41,0.341,0.718,616,2.15,7.197368421052632,3.3421052631578947,1.5526315789473684,0.8157894736842105,0.1578947368421052,0.7236842105263158,False,Forward,2010,0.39,2010,1610612746,240.24
2010-11,202339,Eric Bledsoe,1610612746,LAC,81,0.424,0.276,0.744,665,1.49,6.703703703703703,2.753086419753086,3.567901234567901,1.1358024691358024,0.3209876543209876,2.3950617283950617,False,Guard,2010,0.39,2010,1610612746,259.35
2010-11,202329,Al-Farouq Aminu,1610612746,LAC,81,0.394,0.315,0.773,492,0.58,5.641975308641976,3.2962962962962963,0.7407407407407407,0.7283950617283951,0.3086419753086419,1.271604938271605,False,Forward,2010,0.39,2010,1610612746,191.88
2010-11,2549,Chris Kaman,1610612746,LAC,32,0.471,0.0,0.754,461,0.79,12.40625,7.03125,1.4375,0.5,1.5,1.8125,False,Center,2010,0.39,2010,1610612746,179.79
2010-11,200783,Craig Smith,1610612746,LAC,48,0.553,0.0,0.735,294,0.94,5.375,2.4375,0.6458333333333334,0.3333333333333333,0.1458333333333333,0.6875,False,Forward,2010,0.39,2010,1610612746,114.66000000000001
2010-11,200081,Jamario Moon,1610612746,LAC,59,0.407,0.309,0.882,362,2.36,4.322033898305085,2.796610169491525,0.8813559322033898,0.4745762711864407,0.559322033898305,0.3728813559322034,False,Forward,2010,0.39,2010,1610612746,141.18
2010-11,101113,Ike Diogu,1610612746,LAC,36,0.561,0.0,0.661,222,0.09,5.75,3.1944444444444446,0.0555555555555555,0.0833333333333333,0.0833333333333333,0.6111111111111112,False,Forward,2010,0.39,2010,1610612746,86.58
