Player_ID,Position
1627762,Forward-Center
1627777,Forward
1627780,Guard
1627745,Center
1627778,Center
1627875,Guard
1627787,Forward
1627743,Guard
1627754,Center
1627744,Forward
1627771,Guard-Forward
1627819,Guard
1627861,Center
1627791,Forward
1627863,Forward-Guard
1627868,Guard-Forward
1628378,Guard
1627732,Guard-Forward
1628398,Forward
1628369,Forward-Guard
1628372,Guard
1628374,Forward-Center
1628367,Guard-Forward
203992,Guard
1628415,Guard-Forward
1628368,Guard
1628381,Forward-Center
1628386,Center
1628379,Guard
1628366,Guard
1628404,Guard
1628389,Center-Forward
1628373,Guard
1628382,Forward
1628384,Forward-Guard
1628462,Guard
1628370,Guard
1628412,Guard
1628416,Guard
1628467,Forward
1626220,Forward
1628455,Guard
1628464,Forward-Center
1628380,Forward-Center
1627820,Guard
1628414,Guard
1628395,Forward
1626224,Forward
1628393,Guard
1628411,Forward
1628425,Guard-Forward
203710,Guard
1628397,Forward
1628424,Guard
1628400,Forward
1628390,Guard
1628463,Forward
1628422,Guard
203920,Center
1628407,Guard-Forward
1628470,Forward
1627814,Guard-Forward
1628388,Forward
1627885,Guard
1628469,Guard
203464,Guard
1627846,Forward
1628371,Forward
1627936,Guard
1628436,Center-Forward
1627790,Center
1627988,Forward
203966,Forward
1627858,Guard
1628365,Guard
1628405,Forward
1628681,Guard
1628409,Forward
1628439,Forward
1627824,Forward
1628503,Guard
1627883,Forward
1628510,Forward
1628432,Guard
1628403,Forward
1626177,Center
1628401,Guard
204066,Guard
1627853,Guard
203705,Guard
1628444,Guard
1626259,Guard-Forward
1628495,Guard
1627982,Guard
1628476,Guard
1628504,Guard
1628537,Guard
1628502,Forward
201281,Guard
1628499,Guard
1627788,Guard-Forward
204179,Forward
1628418,Center-Forward
1627753,Forward-Center
1628035,Forward
1628391,Forward
1628492,Guard
1628443,Guard
1627866,Forward
1627215,Guard
1627821,Forward
1628387,Center
1627772,Guard-Forward
1627779,Guard
1628420,Guard
1628935,Guard
1628493,Forward-Center
1628396,Center-Forward
1628506,Guard
1628429,Guard
1626205,Forward
1628475,Guard
1628451,Forward
1627856,Forward-Center
1628513,Guard
203687,Guard
1628421,Forward
1628410,Guard
1626643,Guard
1628383,Center
1628408,Guard-Forward
1628500,Forward
1628449,Forward
1628571,Forward
203590,Guard
1628399,Forward
1629027,Guard
1629029,Forward-Guard
1629012,Guard
1629028,Center
1628995,Forward
1628963,Forward
1628983,Guard
1628991,Forward-Center
1628989,Guard-Forward
1629013,Guard
1629019,Guard
1628969,Guard-Forward
1628973,Guard
1628970,Forward
1629006,Guard
1629066,Forward
1628402,Guard
1629011,Center-Forward
1628976,Center-Forward
1628385,Forward-Center
1628971,Guard-Forward
1629059,Forward-Guard
1628988,Guard
1628964,Center
1629026,Guard-Forward
1629016,Forward
1629001,Guard
