PLAYER_ID,PLAYER,TEAM_ID,TEAM,GP,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PTS,EFF,AST_TOV,PPG,RPG,APG,SPG,BPG,TPG,YEAR,POSITION,season_start_year,WinPCT,Start_Year,TeamID,is_all_nba
203200,Justin Holiday,1610612743,DEN,12,0.579,0.519,0.0,21,14,6,0,3,58,80,4.67,4.833333333333333,1.75,1.1666666666666667,0.5,0.0,0.25,2023-24,Forward-Guard,2023,0.667,2023,1610612743,False
201599,DeAndre Jordan,1610612743,DEN,6,0.682,0.0,0.286,27,7,2,1,7,36,44,1.0,6.0,4.5,1.1666666666666667,0.3333333333333333,0.16666666666666666,1.1666666666666667,2023-24,Center,2023,0.667,2023,1610612743,False
1629618,Jalen Pickett,1610612743,DEN,11,0.45,0.357,1.0,10,7,3,0,6,25,28,1.17,2.272727272727273,0.9090909090909091,0.6363636363636364,0.2727272727272727,0.0,0.5454545454545454,2023-24,Guard,2023,0.667,2023,1610612743,False
1631221,Collin Gillespie,1610612743,DEN,10,0.421,0.25,1.0,3,8,5,0,4,20,21,2.0,2.0,0.3,0.8,0.5,0.0,0.4,2023-24,Guard,2023,0.667,2023,1610612743,False
1630296,Braxton Key,1610612743,DEN,6,0.2,0.0,0.5,3,5,0,0,0,3,6,0.0,0.5,0.5,0.8333333333333334,0.0,0.0,0.0,2023-24,Forward,2023,0.667,2023,1610612743,False
1641816,Hunter Tyson,1610612743,DEN,7,0.25,0.0,0.0,4,1,0,0,0,2,4,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,2023-24,Forward,2023,0.667,2023,1610612743,False
1630643,Jay Huff,1610612743,DEN,2,1.0,0.0,0.0,0,0,0,0,0,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-24,Center,2023,0.667,2023,1610612743,False
1629029,Luka Doncic,1610612742,DAL,18,0.49,0.388,0.761,151,152,24,9,69,565,596,2.2,31.38888888888889,8.38888888888889,8.444444444444445,1.3333333333333333,0.5,3.8333333333333335,2023-24,Forward-Guard,2023,0.579,2023,1610612742,False
202681,Kyrie Irving,1610612742,DAL,15,0.455,0.371,0.898,62,82,16,5,22,354,334,3.73,23.6,4.133333333333334,5.466666666666667,1.0666666666666667,0.3333333333333333,1.4666666666666666,2023-24,Guard,2023,0.579,2023,1610612742,False
203501,Tim Hardaway Jr.,1610612742,DAL,17,0.42,0.384,0.892,57,27,4,0,14,285,221,1.93,16.764705882352942,3.3529411764705883,1.588235294117647,0.23529411764705882,0.0,0.8235294117647058,2023-24,Guard-Forward,2023,0.579,2023,1610612742,False
1627884,Derrick Jones Jr.,1610612742,DAL,19,0.486,0.415,0.76,69,19,11,13,19,187,203,1.0,9.842105263157896,3.6315789473684212,1.0,0.5789473684210527,0.6842105263157895,1.0,2023-24,Forward,2023,0.579,2023,1610612742,False
1629684,Grant Williams,1610612742,DAL,19,0.422,0.406,0.645,71,32,5,11,17,187,193,1.88,9.842105263157896,3.736842105263158,1.6842105263157894,0.2631578947368421,0.5789473684210527,0.8947368421052632,2023-24,Forward,2023,0.579,2023,1610612742,False
1641726,Dereck Lively II,1610612742,DAL,17,0.722,0.0,0.593,133,21,10,26,19,146,281,1.1,8.588235294117647,7.823529411764706,1.2352941176470589,0.5882352941176471,1.5294117647058822,1.1176470588235294,2023-24,Center,2023,0.579,2023,1610612742,False
1630182,Josh Green,1610612742,DAL,18,0.422,0.365,0.529,52,43,17,3,17,124,151,2.53,6.888888888888889,2.888888888888889,2.388888888888889,0.9444444444444444,0.16666666666666666,0.9444444444444444,2023-24,Guard,2023,0.579,2023,1610612742,False
1630702,Jaden Hardy,1610612742,DAL,16,0.385,0.268,0.667,27,19,5,0,12,99,73,1.58,6.1875,1.6875,1.1875,0.3125,0.0,0.75,2023-24,Guard,2023,0.579,2023,1610612742,False
203957,Dante Exum,1610612742,DAL,16,0.508,0.235,0.6,36,24,5,2,5,77,102,4.8,4.8125,2.25,1.5,0.3125,0.125,0.3125,2023-24,Guard,2023,0.579,2023,1610612742,False
203939,Dwight Powell,1610612742,DAL,17,0.724,1.0,0.789,51,22,5,8,7,73,136,3.14,4.294117647058823,3.0,1.2941176470588236,0.29411764705882354,0.47058823529411764,0.4117647058823529,2023-24,Forward-Center,2023,0.579,2023,1610612742,False
